"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","TMAX","TMIN"
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-25",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-26",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-27",,,"0.37",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-28",,,"0.65",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-29",,,"0.04",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-30",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-07-31",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-01",,,"0.04",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-02",,,"0.14",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-03",,,"0.16",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-04",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-05",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-06",,,"0.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-07",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-08",,,"0.64",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-09",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-10",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-11",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-12",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-13",,,"0.25",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-14",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-15",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-16",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-17",,,"0.00","0.0",,
